0,1,2,3,4,5,6,7,8
0,5,12,1,17,1,17,1,1
0,6,12,1,17,5,17,1,1
0,6,12,3,17,3,17,37,1
0,5,12,4,17,3,17,1,1
5,12,9,4,13,1,6,52,3
0,7,12,3,17,0,17,45,1
0,7,27,3,17,0,17,1,1
1,5,9,1,17,0,17,49,1
0,6,14,4,17,5,17,1,1
1,7,25,2,17,5,17,1,1
0,5,9,1,17,1,17,10,1
0,6,10,1,17,0,17,3,1
2,5,12,3,17,0,17,12,1
0,7,25,1,17,0,16,1,1
1,5,12,1,17,3,17,1,1
0,5,23,3,17,6,17,1,1
0,4,12,1,17,5,17,1,17
0,7,9,2,17,5,17,1,1
1,3,12,4,17,4,17,38,1
1,6,15,1,17,5,17,1,1
0,8,27,1,17,3,17,1,1
8,5,12,2,17,1,17,2,1
1,5,12,3,17,0,17,45,1
8,4,12,4,17,0,17,10,1
1,5,12,3,17,6,17,11,1
4,12,19,1,4,6,6,42,32
0,4,12,1,17,0,17,1,1
1,5,23,4,17,0,17,1,1
0,6,12,3,17,5,16,1,1
0,5,12,3,17,0,17,1,1
0,5,23,4,17,5,17,1,1
0,7,2,2,17,3,17,1,1
0,6,12,4,17,0,17,10,1
0,5,12,1,17,0,17,2,1
1,3,12,3,17,4,17,1,1
6,12,19,4,13,6,3,14,24
2,5,9,3,17,0,17,1,1
0,4,27,3,17,0,14,1,12
1,5,9,1,17,6,17,45,1
8,5,26,3,17,3,10,27,1
0,7,12,3,17,1,17,1,1
2,7,23,1,17,2,17,4,1
0,6,6,4,17,0,17,1,1
0,6,27,3,17,3,17,2,1
0,3,11,4,17,5,17,45,1
1,6,14,3,17,0,16,26,1
0,6,12,3,17,5,16,24,1
0,5,4,1,17,1,17,6,1
0,5,12,3,17,0,17,1,1
1,3,13,3,17,0,17,6,1
1,5,10,3,17,0,17,10,1
0,8,9,2,17,0,17,10,1
0,4,12,4,13,5,10,32,1
6,12,1,4,15,1,4,44,13
1,7,10,3,17,6,17,10,1
0,7,12,1,17,5,17,1,1
3,8,15,3,17,0,17,1,1
1,6,12,4,17,3,16,1,1
1,5,6,1,17,6,17,1,1
2,8,12,1,17,0,17,1,1
0,6,12,2,17,6,17,1,1
0,7,13,1,17,0,17,1,1
0,5,10,3,17,5,16,1,1
3,6,12,1,17,0,17,37,1
8,5,5,3,17,3,17,1,1
0,3,9,3,17,1,17,9,1
0,3,13,1,17,0,17,26,1
6,12,9,4,15,1,5,39,22
0,6,12,3,17,4,17,1,1
2,4,12,3,17,0,17,1,1
0,5,12,4,17,6,17,37,1
0,4,10,1,17,0,16,1,1
1,5,11,3,17,0,17,29,1
0,6,15,1,17,5,17,1,1
0,5,24,2,17,5,10,1,1
6,5,20,1,13,4,6,17,26
6,12,17,2,16,3,4,6,14
0,5,12,3,17,6,17,27,1
11,12,25,0,7,6,8,25,16
6,9,20,4,14,6,4,13,32
2,6,9,2,17,5,17,10,1
0,4,26,1,17,0,17,1,1
0,5,13,2,17,0,12,1,12
0,6,27,3,17,5,17,1,1
0,7,14,4,17,5,12,5,1
0,6,12,3,17,5,16,1,1
1,5,14,1,17,5,17,13,1
0,6,12,3,17,0,15,53,1
0,6,12,1,17,5,17,2,1
12,4,11,1,3,2,0,26,30
0,5,11,3,17,0,17,10,1
6,1,19,3,15,0,4,37,26
1,4,6,4,17,6,17,3,1
0,3,12,3,17,0,17,1,1
6,12,19,1,15,5,4,18,18
0,8,12,3,17,0,17,1,1
2,5,12,4,17,5,17,27,1
6,12,17,4,14,1,3,25,3
6,8,19,2,6,1,3,27,26
6,4,3,1,14,1,6,39,24
8,7,12,4,17,0,17,2,1
6,12,19,1,15,6,5,52,3
0,3,10,2,17,0,17,10,1
1,6,26,3,17,5,17,1,1
0,5,12,1,17,0,16,1,1
0,5,13,4,17,0,17,2,1
6,6,19,3,14,6,3,41,3
0,5,12,1,17,0,17,10,1
0,7,12,3,17,0,17,1,1
0,5,12,3,17,1,17,1,1
2,5,12,1,17,0,17,1,1
1,7,11,1,17,6,17,1,1
9,9,13,1,19,4,0,8,29
1,8,9,3,17,5,17,1,1
2,5,2,3,17,1,17,1,1
6,12,21,4,8,6,4,32,26
0,8,9,3,17,5,17,1,1
1,6,11,1,17,5,17,1,1
6,8,17,4,12,6,3,18,23
0,4,12,4,17,6,17,1,1
0,4,12,3,17,0,17,1,1
1,5,9,3,17,6,17,23,1
1,5,9,3,17,4,16,1,1
6,6,1,3,1,3,3,20,26
0,5,12,1,17,6,17,1,1
1,7,12,2,17,5,17,1,1
5,4,17,3,15,4,3,42,20
0,4,23,3,17,5,17,45,1
1,7,12,2,17,0,17,1,1
0,6,12,1,17,0,17,31,1
6,5,19,1,1,4,6,27,21
0,4,12,3,17,0,17,2,1
8,7,27,2,17,0,16,2,1
8,5,12,2,17,5,17,45,1
6,12,20,1,13,1,4,20,3
1,4,9,4,17,4,17,1,1
2,4,12,3,17,0,17,1,1
0,4,12,4,17,0,17,1,1
0,4,6,3,17,0,17,23,1
0,4,11,1,17,6,17,1,1
0,6,9,3,17,0,17,1,1
0,4,24,3,17,1,17,1,1
0,6,12,4,17,0,17,10,1
0,6,12,3,17,5,17,1,1
0,6,12,3,17,0,17,2,1
0,5,14,1,17,0,17,1,1
2,5,12,1,17,0,17,1,1
0,4,12,1,17,5,17,1,1
4,12,19,1,15,4,7,22,18
0,4,13,3,17,0,17,1,1
12,9,14,1,19,4,0,49,29
11,1,28,0,18,4,12,49,17
0,5,9,3,17,1,17,10,1
0,5,12,1,17,0,14,1,1
8,4,28,3,17,0,17,1,1
8,5,13,1,17,2,17,5,1
1,4,13,3,17,0,17,8,1
2,6,13,1,17,6,16,1,1
8,5,12,2,17,0,17,1,1
0,5,10,3,17,3,16,1,1
0,5,12,4,17,3,17,45,1
1,7,23,1,17,5,17,1,1
0,6,12,3,17,6,17,28,1
2,5,10,3,17,5,17,1,1
6,8,17,1,13,0,7,48,32
0,6,9,3,17,0,17,1,1
0,8,11,1,17,5,17,1,1
6,12,1,4,16,6,4,41,23
2,5,5,1,17,0,17,45,1
0,4,12,3,17,1,17,1,1
2,6,12,1,17,6,16,1,0
0,5,9,1,17,0,17,2,1
6,12,19,4,9,0,6,13,3
6,12,19,3,5,0,4,21,26
0,4,15,3,17,0,17,10,1
0,7,14,3,17,0,16,1,1
0,5,12,3,17,1,17,26,1
0,5,12,3,17,1,17,20,1
2,8,12,2,17,5,17,1,1
0,7,12,3,17,5,17,2,1
1,5,15,3,17,0,17,23,1
0,5,12,3,17,0,17,2,1
0,8,13,3,17,3,17,47,1
0,5,9,3,17,6,16,1,1
0,4,26,1,17,0,17,2,1
6,4,19,4,13,4,3,17,26
8,4,12,3,17,5,17,6,1
0,5,12,4,17,0,17,1,1
0,5,6,2,17,0,17,45,1
1,4,6,3,17,5,16,4,1
1,5,12,2,17,6,17,38,1
6,5,19,1,1,1,6,45,19
0,4,9,1,17,5,17,12,1
1,8,12,1,17,3,16,28,1
0,4,26,4,17,1,17,10,1
0,4,12,3,17,1,17,1,1
0,5,12,1,17,6,17,45,1
1,7,12,1,17,1,17,13,1
0,7,15,0,17,6,17,5,1
0,6,12,4,17,3,17,1,1
0,4,25,4,17,0,17,10,1
0,7,6,3,17,0,17,1,1
8,5,27,3,17,5,17,1,1
0,8,15,3,17,0,17,1,1
0,4,14,1,17,0,8,1,1
0,5,12,1,17,5,16,13,1
0,5,12,1,17,4,17,45,1
5,14,19,2,15,3,2,42,21
0,6,10,1,17,1,16,1,1
1,8,0,3,17,6,17,1,1
1,7,6,3,17,0,17,1,1
6,12,19,1,5,1,3,21,11
8,6,10,3,17,2,17,15,1
0,4,9,1,17,5,17,12,1
1,5,4,2,17,4,17,1,1
0,4,12,4,17,5,17,17,1
1,5,12,3,17,5,17,38,1
6,4,9,4,15,3,6,48,20
0,6,10,1,17,3,17,1,1
0,4,12,4,17,3,17,1,1
0,7,23,1,17,5,17,1,1
0,5,12,1,17,5,17,10,1
0,3,13,1,17,0,16,7,1
0,5,17,1,17,0,17,1,1
6,4,17,4,20,6,4,29,14
0,5,15,3,17,0,17,1,1
0,4,12,3,17,0,17,5,1
0,5,27,3,17,3,17,2,1
0,4,6,1,17,6,13,1,1
6,12,21,4,15,6,3,44,28
1,7,11,1,17,0,17,1,1
0,7,11,3,17,5,17,30,1
6,12,19,3,2,2,3,25,3
0,6,12,3,17,5,10,26,1
2,6,10,2,17,1,17,10,1
1,4,9,4,17,1,17,10,1
0,4,2,3,17,5,10,2,1
6,9,20,1,15,5,6,23,3
0,4,12,4,17,0,17,1,1
0,6,12,1,17,0,17,26,1
0,4,13,4,17,4,17,10,1
0,5,12,3,17,1,17,5,1
0,7,12,4,17,6,17,26,1
0,5,11,1,17,5,17,15,1
0,4,12,3,17,6,17,1,1
1,4,27,4,17,5,16,10,1
12,12,19,1,13,3,6,46,22
1,4,12,1,17,1,17,1,1
0,6,12,3,17,2,17,1,1
1,8,9,1,17,5,16,45,1
10,14,11,0,19,6,0,35,17
12,14,24,2,19,6,0,36,30
1,6,12,1,17,0,17,1,1
0,5,13,1,17,0,17,1,1
6,5,19,1,13,6,4,53,20
12,0,23,0,12,1,0,51,30
0,4,14,1,17,0,17,1,1
1,6,25,3,17,5,17,1,1
6,12,19,2,5,5,6,30,20
6,9,0,1,3,6,3,50,3
0,5,26,3,17,0,17,1,1
1,4,12,3,17,0,16,26,1
6,8,19,4,5,3,4,32,9
0,4,12,1,17,6,17,1,1
8,4,9,1,17,6,17,1,1
1,7,12,2,17,5,16,46,1
0,4,12,3,17,0,16,5,1
10,10,12,2,8,6,0,51,24
12,3,13,4,18,2,0,32,26
0,6,12,3,17,6,17,26,1
6,12,19,1,1,3,5,37,26
12,14,11,1,19,2,0,26,29
0,4,12,4,17,5,17,10,1
8,5,12,3,17,5,17,1,1
8,7,12,3,17,1,12,4,1
0,5,9,3,17,3,17,5,1
6,12,17,1,13,1,6,30,6
0,5,13,1,17,0,17,1,1
0,5,12,1,17,0,17,5,10
0,5,12,1,17,3,17,1,1
6,12,19,1,5,2,3,46,21
0,5,12,3,17,5,17,1,1
0,8,12,1,17,5,10,1,1
0,5,12,2,17,5,17,10,1
0,5,12,1,17,3,16,1,1
1,7,14,3,17,2,16,8,1
9,7,14,1,17,0,17,1,1
1,4,10,3,17,0,17,1,1
1,8,12,3,17,5,17,1,1
0,5,12,3,17,5,17,1,1
1,7,26,3,17,0,17,5,1
6,4,17,1,13,4,3,36,24
8,3,9,2,17,3,17,3,1
0,5,10,3,17,5,17,1,1
0,6,12,4,17,0,17,3,1
0,5,9,3,17,0,17,1,1
0,8,12,0,17,6,17,37,1
0,5,20,3,17,0,17,1,1
6,12,19,4,15,4,6,20,26
6,12,19,2,14,6,7,18,22
0,5,6,2,17,3,17,13,1
0,5,12,3,17,0,17,3,1
0,8,15,3,17,3,17,1,1
0,6,24,2,17,0,16,1,1
1,4,12,3,17,0,17,2,1
0,4,11,3,17,3,17,6,1
1,7,2,1,17,0,17,35,1
0,6,12,1,17,2,10,9,1
0,5,9,1,17,0,17,12,1
1,6,12,3,17,5,17,1,1
6,12,20,3,1,4,3,50,18
2,6,5,1,17,0,17,45,1
8,5,2,3,17,0,10,13,1
0,5,7,2,17,5,17,1,1
12,14,11,1,21,6,0,50,26
1,6,12,2,17,0,17,1,1
6,4,19,1,15,5,3,28,22
0,8,5,1,17,5,10,1,1
2,7,9,1,17,0,17,1,1
2,4,13,1,17,0,17,4,1
6,12,19,1,13,6,3,13,20
0,3,12,1,17,5,17,1,1
2,6,12,3,17,5,16,31,1
1,8,12,3,17,0,17,12,1
1,5,6,3,17,0,16,2,1
0,4,12,1,17,0,17,26,1
4,5,20,4,15,1,6,42,6
1,5,12,3,17,5,17,1,1
0,5,10,3,17,0,17,10,1
0,8,13,1,17,0,17,31,1
1,7,15,1,17,0,17,1,1
1,5,12,3,17,4,17,1,1
1,8,12,2,17,4,10,2,1
2,5,10,1,17,0,16,1,1
8,3,19,3,17,6,16,1,1
8,8,12,1,17,0,17,18,1
8,3,12,1,17,1,17,26,1
0,5,26,4,17,0,17,1,1
6,12,20,1,15,5,3,44,7
0,5,10,4,17,0,17,1,1
0,4,12,4,17,0,16,1,1
6,8,19,1,15,2,3,21,3
1,4,10,3,17,0,16,3,1
6,8,1,4,15,5,3,34,20
12,9,15,1,19,6,0,53,30
1,8,12,3,17,0,17,14,1
0,4,26,3,17,3,16,2,1
2,4,6,4,17,2,17,6,1
0,3,12,3,17,3,17,16,1
6,12,19,4,10,3,4,48,8
0,4,12,3,13,0,15,45,1
1,5,2,3,17,0,17,1,1
1,4,12,1,17,5,17,1,1
0,4,27,1,17,5,17,1,1
0,4,12,1,17,0,17,1,1
0,3,12,1,17,5,17,10,1
0,4,2,4,17,0,17,24,1
2,8,14,1,17,5,17,1,1
1,5,12,2,17,5,17,8,1
6,12,19,1,15,1,3,22,32
0,7,26,4,17,5,16,2,1
0,8,12,4,17,5,17,31,1
2,4,12,3,17,0,17,1,1
1,8,10,3,17,3,17,1,1
0,6,12,1,17,0,17,1,1
6,12,18,3,19,1,3,44,12
1,5,7,3,17,5,16,1,1
0,7,13,3,17,3,17,12,1
0,7,12,3,17,3,17,1,1
0,5,10,3,17,6,16,2,1
1,6,12,4,17,1,17,5,1
8,3,8,1,17,0,16,1,1
0,6,11,3,17,0,17,1,1
1,6,12,3,17,3,16,1,1
0,5,23,3,17,0,17,1,1
12,9,11,1,19,3,0,37,30
1,7,12,3,17,5,17,1,1
0,4,12,3,17,0,17,6,1
1,5,2,3,17,5,17,4,1
1,4,12,1,17,6,17,4,1
6,12,9,2,13,6,3,50,3
0,8,15,3,17,2,17,1,1
0,8,10,4,17,0,17,1,1
12,9,23,1,19,4,0,51,27
12,14,20,0,19,1,0,51,30
1,7,12,4,17,0,17,2,1
6,6,19,1,15,5,3,20,3
8,6,12,3,17,0,10,10,1
2,4,12,3,17,0,17,1,1
1,5,14,4,17,0,17,6,1
1,3,6,1,17,5,17,2,1
0,6,12,4,17,0,17,1,1
12,10,11,0,19,3,0,26,29
0,5,11,3,17,0,17,28,1
1,5,12,3,17,0,17,4,1
12,5,26,1,2,6,0,48,14
6,6,19,1,6,1,3,49,26
0,6,12,3,17,0,17,1,1
8,7,15,1,17,2,17,33,1
1,7,12,3,17,0,16,1,1
0,5,13,1,17,5,17,10,1
5,6,19,3,15,5,3,13,8
0,6,12,1,17,6,16,2,1
0,4,12,1,17,0,17,1,1
6,12,20,1,15,5,3,27,20
0,6,12,3,17,0,17,5,1
12,10,26,0,0,6,0,51,30
1,8,11,1,17,6,17,1,1
12,13,26,1,2,6,0,51,28
1,5,13,1,17,0,17,1,1
10,14,0,0,19,3,0,8,29
0,5,6,1,17,0,17,10,1
1,5,12,3,17,0,10,10,1
1,7,25,1,17,6,16,52,1
0,6,15,1,17,0,16,1,1
1,7,12,3,17,1,17,26,1
0,5,10,2,17,3,17,10,1
2,7,9,0,17,0,17,26,1
8,5,12,4,17,3,17,1,1
2,4,12,1,17,0,17,2,1
0,4,12,3,17,5,17,26,1
1,7,12,1,17,4,17,26,1
6,12,19,2,13,6,3,39,19
8,6,9,3,17,5,17,7,1
0,3,12,1,17,3,17,2,1
0,5,12,4,17,4,17,1,1
8,3,11,3,17,0,17,1,1
0,6,12,3,17,0,14,10,1
1,4,12,3,17,0,17,1,1
2,4,14,1,17,0,17,1,1
0,6,12,4,17,0,16,1,1
2,6,9,1,17,5,17,1,1
6,12,9,4,14,0,8,21,14
0,5,12,3,17,0,17,1,1
0,5,12,3,17,5,17,1,1
1,7,12,2,17,5,17,1,1
0,7,13,4,17,6,17,10,1
6,5,17,1,13,2,4,22,18
6,12,19,4,15,1,5,20,3
8,7,12,3,17,5,16,1,1
0,7,0,1,17,5,17,1,12
12,13,11,1,19,5,0,36,30
1,6,9,4,17,6,17,1,1
10,0,26,4,19,5,0,54,30
6,12,1,1,13,1,3,44,22
0,6,11,4,17,5,16,1,1
0,6,27,3,17,5,17,26,1
0,3,12,4,17,0,17,4,1
2,6,6,3,17,5,17,1,1
1,6,24,1,17,0,17,1,1
6,12,20,3,6,6,3,41,6
0,4,12,1,17,0,17,1,1
6,12,19,4,14,3,3,17,21
10,4,11,0,19,6,0,7,29
0,7,12,4,17,0,17,1,1
0,6,12,1,17,6,17,1,1
1,5,12,4,17,5,17,6,1
10,6,9,1,12,2,0,53,29
8,6,10,3,17,0,17,1,1
8,4,9,3,17,0,17,38,1
6,10,9,4,1,3,4,44,26
1,4,23,3,17,5,17,1,1
0,7,27,4,17,6,17,1,1
0,5,6,3,17,5,17,1,1
2,6,12,3,17,6,17,2,1
1,7,12,3,17,5,17,1,1
1,6,12,3,17,5,16,1,1
0,5,12,1,8,0,17,1,1
0,4,13,1,17,5,17,4,1
5,8,19,1,13,2,3,50,21
8,5,12,3,17,0,17,13,1
0,5,12,3,17,0,17,18,1
6,5,17,1,15,6,4,30,20
1,7,10,4,17,2,17,27,1
0,4,12,1,17,3,17,17,1
1,3,12,1,17,0,17,1,1
10,14,24,1,19,0,0,51,26
6,12,19,1,13,1,6,50,19
2,5,12,3,17,3,17,5,1
1,6,11,3,17,5,17,10,1
8,6,23,3,17,0,17,6,1
0,4,4,4,17,0,16,10,1
0,5,13,3,17,0,17,1,1
6,12,20,4,21,2,4,20,20
0,4,27,3,17,5,17,10,1
0,7,12,1,17,4,18,1,1
2,8,10,1,17,5,16,1,1
1,4,12,1,17,0,17,10,1
0,6,0,2,17,1,16,3,1
8,6,14,3,17,3,16,4,1
0,7,23,1,17,0,17,1,1
1,4,12,4,17,0,16,1,1
10,14,11,0,19,1,0,53,3
6,8,19,1,14,6,6,30,3
10,12,11,1,19,3,0,38,30
6,5,20,4,5,3,3,54,3
1,8,9,1,17,6,17,33,1
0,5,10,1,17,0,17,10,1
5,12,19,1,5,3,3,21,21
0,4,9,3,17,5,17,10,1
6,9,19,4,5,3,6,23,20
0,4,12,1,17,0,17,38,1
0,4,9,3,17,5,17,1,1
0,5,23,4,17,0,17,5,1
0,4,9,4,17,0,17,1,1
12,12,7,0,21,5,0,34,30
0,6,12,2,17,5,17,1,1
2,4,12,3,17,6,17,1,1
10,9,11,1,19,5,0,8,29
0,5,9,4,17,0,17,2,1
1,5,12,2,17,0,17,13,1
0,4,12,3,17,0,17,37,1
6,12,19,4,15,4,4,41,8
0,5,12,3,17,6,17,32,1
6,9,1,1,14,1,5,54,20
10,14,23,1,15,5,0,53,30
12,9,3,0,1,1,0,25,30
1,3,9,3,17,5,17,3,1
1,7,15,3,17,5,17,1,1
0,5,12,0,17,5,17,7,1
0,5,10,1,17,0,17,2,1
4,12,18,1,5,0,8,46,32
0,4,23,3,17,6,17,10,1
1,3,12,3,17,0,17,5,1
8,7,24,3,17,4,17,1,1
1,6,6,1,17,6,17,13,1
1,5,12,4,17,1,17,1,1
8,6,12,4,17,6,17,19,1
2,5,12,2,17,6,17,0,1
6,12,1,4,15,2,4,42,24
0,4,9,1,17,5,17,1,1
0,8,12,3,17,5,17,1,1
1,4,12,1,17,5,13,38,1
1,6,12,3,17,0,17,1,1
0,4,18,2,17,5,17,24,1
0,5,12,3,17,0,17,1,1
10,7,11,1,8,5,0,53,29
0,5,12,1,17,5,17,1,1
12,3,24,1,19,6,0,10,11
0,5,12,4,17,5,9,1,1
0,5,12,1,17,3,17,1,1
0,4,12,0,17,6,17,1,1
1,8,23,1,17,0,16,1,1
1,4,6,3,17,6,17,1,1
0,6,13,3,17,0,17,4,1
0,4,9,1,17,0,16,10,1
1,5,12,3,17,2,17,37,1
0,6,12,0,17,1,16,8,1
7,6,19,3,13,5,5,39,14
5,12,8,4,5,6,5,21,14
1,4,13,3,17,0,16,1,1
0,5,11,4,17,0,17,1,1
0,5,6,3,17,6,17,6,1
0,6,9,2,17,0,16,1,1
1,6,12,2,17,4,17,26,1
10,9,24,1,10,6,0,47,30
6,12,19,1,15,3,6,44,3
0,5,12,1,17,0,17,10,1
0,3,12,3,17,5,16,1,1
0,4,25,3,17,0,17,2,1
0,6,14,1,17,2,17,10,1
0,7,10,3,17,6,17,1,1
1,8,12,3,17,6,17,1,1
0,6,10,3,17,5,17,6,1
0,4,27,3,17,5,17,1,1
1,5,10,1,17,1,10,1,1
0,7,15,1,17,5,15,2,1
6,12,6,2,15,1,3,21,28
10,13,11,0,19,2,0,19,28
6,4,19,1,15,6,3,44,26
1,4,12,1,17,3,17,1,1
2,5,23,3,17,5,17,1,1
0,7,10,3,17,0,16,21,1
0,5,4,1,17,5,16,1,1
1,7,9,3,17,6,17,1,1
0,5,23,3,17,6,17,33,1
0,5,12,3,17,3,17,1,1
2,5,12,3,17,3,17,11,1
0,7,27,3,17,3,17,8,1
10,8,12,1,0,5,0,44,28
1,3,12,1,17,6,17,2,1
6,8,1,4,15,6,4,32,19
0,7,12,1,17,5,17,0,1
6,8,19,2,5,1,5,49,26
0,5,27,4,17,6,17,26,1
1,7,13,2,17,0,17,15,1
0,7,11,3,17,0,17,1,1
0,5,12,1,17,0,16,1,1
6,12,1,1,15,5,6,26,9
0,8,12,3,17,2,17,29,1
0,5,12,3,17,0,17,26,1
6,1,20,1,14,5,6,38,28
1,6,27,1,17,0,17,2,1
1,5,12,3,17,5,17,6,1
0,5,12,4,17,0,17,13,1
0,6,12,1,17,0,17,2,1
0,5,9,3,17,0,17,6,1
1,4,12,3,17,4,17,1,1
1,5,23,1,17,1,17,1,1
0,4,11,3,17,0,17,1,1
0,7,12,2,17,0,17,1,1
1,4,12,1,17,0,17,1,1
0,4,13,3,17,0,17,1,1
1,7,9,3,17,0,17,1,1
8,6,12,4,17,5,17,1,22
0,7,6,3,17,0,17,1,1
0,4,12,3,17,3,17,1,1
1,6,6,1,17,6,17,1,1
0,4,23,3,17,6,16,1,1
0,6,9,3,17,6,17,35,1
0,3,12,3,17,0,17,1,1
1,5,12,4,17,6,17,1,1
10,3,11,3,19,5,0,2,29
8,8,13,3,17,3,17,10,1
0,7,12,2,17,5,17,28,1
0,5,11,1,17,5,17,1,1
8,6,12,2,17,1,17,10,1
1,4,23,1,17,5,17,3,1
1,5,12,2,17,3,17,15,1
1,6,12,3,17,3,17,1,1
8,8,6,4,17,5,17,10,1
1,5,11,1,17,5,17,10,1
0,6,12,3,17,0,17,10,1
0,4,12,1,17,0,17,45,1
0,6,13,3,17,0,17,3,1
0,4,27,3,17,3,16,1,1
0,3,12,1,17,0,17,10,1
0,6,12,1,17,5,17,1,1
0,5,10,3,17,3,17,1,1
0,5,14,2,17,0,17,28,1
1,6,10,1,17,5,17,1,1
1,4,6,1,17,0,17,6,1
0,8,16,3,17,0,17,1,1
0,4,12,3,17,3,17,26,1
6,7,9,3,15,4,4,41,3
1,4,10,3,17,1,17,1,1
8,4,12,3,17,0,17,13,1
0,7,12,3,17,6,17,1,1
0,3,12,1,17,0,15,32,1
1,5,27,1,17,0,16,1,1
6,12,19,1,4,0,4,4,22
0,7,13,3,17,0,16,1,1
0,4,27,2,17,5,17,33,1
0,6,13,4,17,6,17,1,1
1,6,15,3,17,5,17,38,1
0,3,12,1,17,1,17,1,1
0,5,12,4,17,0,17,1,1
2,5,2,4,17,1,17,2,1
1,5,12,3,17,0,17,1,1
3,8,19,1,15,1,8,44,26
0,5,12,1,17,5,17,2,3
0,5,12,3,17,6,17,23,1
0,5,9,3,17,6,17,1,1
5,12,17,1,15,3,6,21,12
0,5,9,1,17,5,17,1,1
0,5,23,3,17,0,17,1,1
0,7,23,2,17,0,17,2,1
0,5,12,1,17,5,17,10,1
10,14,26,1,19,6,0,53,30
6,12,21,4,15,6,3,48,14
